board,category,title
hatepolitics,討論,徐巧芯這區 派黃國昌頂
hatepolitics,討論,柯家人燦笑揮著手走出北院
hatepolitics,討論,北檢：捐到台灣民眾黨的錢等於給柯文哲
hatepolitics,新聞,在野提二公投 李進勇:沒有的政策要求不要
hatepolitics,討論,柯文哲根本基努李維
hatepolitics,黑特,台塑仁武廠爆炸死訊藏6天！員工怒
hatepolitics,新聞,賴清德宣布 準備擴大對美採購
hatepolitics,黑特,沈伯洋:凌虐不一定會造成傷害
hatepolitics,討論,台灣的醫療與健保也太棒了吧！
hatepolitics,轉錄,侯漢廷：已向監院檢舉賴違反政治
hatepolitics,黑特,活佛轉世要遵守中國法律？
hatepolitics,討論,羅智強的反罷免傳單被大安區民眾吐槽
hatepolitics,討論,小草的平行世界
hatepolitics,新聞,罷免名冊涉偽造文書 檢方當庭逮捕藍營台
hatepolitics,新聞,台中男酒後闖民宅叫囂！屋主友一刀捅胸
hatepolitics,討論,藍罷免 搞到自己被收押。到底有多廢？
hatepolitics,討論,『禁語』技能目前有哪些？
hatepolitics,討論,司法不公，難怪老一輩都恨國民黨！
hatepolitics,舊聞,藍立委提醒：罷免案如涉偽造文書罪刑事追
baseball,新聞,直球均速143公里 勝騎士刻意多投「稀有球
baseball,新聞,mlb》天堂與地獄的3.2局！千賀滉大猛飆
baseball,分享,juan soto的弟弟在對上大都會的比賽登場
baseball,新聞,mlb天使教頭整頓球隊文化 下令休息室禁
baseball,分享,今日 will warren/ 菅野智之
baseball,新聞,絕非天使隊獨有 中職球員進球場禁用手機
baseball,分享,今日千賀滉大、小笠原慎之介
baseball,分享,2025 rakuten monkeys 賽事贈品報猴哩哉
baseball,新聞,mlb》台美混血好手費爾柴德吞3k 連3場無
baseball,分享,paul skenes的簽名卡價值比他的薪水高
baseball,新聞,spc-mlb》東京賽超吸金！週邊商品與球員
baseball,新聞,介紹東蛋美食挨批「沒禮貌」遭炎上 美媒
baseball,情報,2025mlb例行賽各隊開幕戰先發投手
baseball,分享,林哲瑄 三球就遭盧孟揚三振解決 場邊兄
baseball,整理,轉播時間 + 季前熱身賽
baseball,分享,cpbl熱身賽　 轉播平台／賽程表
baseball,live,2025春季甲子園 第4日
baseball,分享,宮城大彌給山本由伸的特別訊息
baseball,新聞,「以前是上丘才做暗號現在是上丘就set」
baseball,新聞,按pitchcom缺少眼神、肢體動作交流 陳重
baseball,情報,藍鳥總裁：我認為將要延長vladdy的合約
baseball,新聞,mlb》「米飯哥」成洋基春訓全壘打王！ mvp新隊友絕讚：超猛
baseball,新聞,mlb》紅襪殺出血路成功搶下布萊格曼　他透露：一直以為要去
baseball,分享,狂威(dylan covey)被勇士下放小聯盟訓練營
baseball,新聞,費仔、卡仔若加入中華隊！大聯盟記者：會
baseball,新聞,洛杉磯道奇隊的大谷翔平選手將以1/6比例
baseball,情報,jose trevino延長合約 3y/接近$15m
baseball,情報,alex verdugo到勇士1年1.5m
baseball,新聞,張育成全新角色 率富邦突破僵局
baseball,分享,分享東森洋片台2025mlb轉播表
baseball,新聞,預祝林智勝引退達標　林智平快滿40歲：再拿一次總冠軍
baseball,分享,馬林魚恐再次因為不花錢被球員工會申訴
baseball,新聞,wcy-貝茲身體不適體重驟降原因不明？教
baseball,新聞,中職》看到張士綸狀況 平野惠一瞬間就知
baseball,新聞,wcy-大谷翔平曬開幕戰驚喜！ 真美子精心
baseball,情報,古林將朝向四月分一軍首次先發調整
baseball,炸裂,詹子賢
baseball,情報,熱身賽大巨蛋場次攤商/安檢/贈品資訊
baseball,分享,今日胡智爲
baseball,新聞,mlb》投球機制出問題導致球速下滑 「地表最強投」不擔心
baseball,新聞,mlb(影)／退休巨砲「小王子」有子繼承衣缽　兒子在釀酒人小
baseball,新聞,mlb(影)／洋基37歲老將先發投手春訓表現優異　入選新賽季輪
baseball,炸裂,王政順
baseball,情報,張士綸傷退
baseball,新聞,「億元男」陳子豪復出先發2棒守外野 轉
baseball,分享,今日林哲瑄
baseball,分享,今日 孫易磊
baseball,新聞,張士綸撲壘受傷被抬下場　兄弟球團回報
baseball,新聞,陳金鋒、林智勝、詹子賢母校 善化國小棒球場將投入1716萬元
baseball,專欄,中職明星游擊手馬傑森：從花蓮小鎮踏上
baseball,分享,今日cpbl兩地人數 官辦熱身賽d9
baseball,分享,羅德隊 大谷輝龍接受tommy john手術
baseball,分享,今日范國宸
baseball,新聞,擔心張士綸右肩脫臼 平野惠一看勝騎士：
baseball,新聞,首披黃衫登板2.2局丟4分　勝騎士練變速球
baseball,情報,水手隊本季球衣
baseball,情報,樂天桃猿主場開幕戰賽前新女孩拍照見面會
baseball,新聞,吳哲源「差不多回復6成」 明天投live bp
baseball,討論,布雷克的年資
baseball,live,cpbl熱身賽#16 味全 vs 統一 @斗六
baseball,live,cpbl熱身賽#17 富邦 vs 中信兄弟 @洲際
baseball,新聞,富邦悍將4大土投傷兵 王尉永的狀況最「
baseball,新聞,潘志芳、黃稚峰輪流測試三壘指 平野惠一
baseball,討論,有發生過球迷舉牌要球員滾蛋的事情嗎
baseball,新聞,江少慶「往好的方向走」 王尉永復健進度
baseball,新聞,外界普遍看好兄弟 平野惠一的表情好誇張
baseball,新聞,目標至少季後賽　張育成學習當富邦隊長
baseball,新聞,中信兄弟被看好連霸　平野惠一說實話：6
baseball,新聞,勝騎士披黃衫官辦熱身賽首度亮相　投2.2
baseball,分享,台鋼雄鷹開季商品
baseball,新聞,mlb》近況火燙！台美混血球星卡洛爾連4場
baseball,新聞,本土先發人選不擔心 林岳平點名高塩將樹
baseball,新聞,新球隊！山羊兄弟成軍 周思齊領軍瞄準世
baseball,新聞,三壘指導不好站　林琨笙樂於挑戰：成敗
baseball,新聞,台中棒球教練涉性侵學童 家長淚訴「婦幼
baseball,新聞,"occ-mlb》有""當投手最後機會""的覺悟 大谷"
baseball,分享,大谷效應 日本國中小男生最想當棒球選手
baseball,情報,台鋼雄鷹 x 大港開唱套票～來囉！
baseball,新聞,mlb海外賽》兩戰共吸引84732名的觀眾進
baseball,新聞,spc-東京賽》大谷翔平熱潮太狂！2500萬
baseball,新聞,「我打不贏張正偉」 張志豪透露轉型重砲
baseball,情報,台鋼雄鷹：車掃x開幕戰前夜造勢活動
baseball,討論,明年能中斷經典賽被首場魯閣的紀錄嗎
baseball,討論,鋼龍有機會待到具本土資格嗎？
baseball,新聞,台鋼雄鷹》偏好「日援」!新球季有日本經
baseball,新聞,ubl》開tj手術空白15個月復出飆142公里
baseball,新聞,熱身賽本週六、日在台北大巨蛋　2戰已售
baseball,新聞,王正棠肩膀不舒服開季有點趕　張進德準
baseball,分享,暖心歐牛王牌! 招待沖繩孩子去東京看mlb
baseball,新聞,兄弟悲報!徐基麟開tj手術本季恐報銷
baseball,分享,大谷昨天的全壘打疑似打到巨蛋天花板
baseball,分享,大谷翔平本年贊助收入達一億美金
baseball,分享,陳偉殷 引退儀式官方紀念影片
baseball,新聞,道奇主帥評價佐佐木朗希初登板 天賦高、
baseball,新聞,接到大谷練習球和首轟球　10歲球迷獲傳家
c_chat,母雞,當初輝夜這樣演是不是也解套了？
c_chat,母雞,是說「豐川家」的人是不是講話都...
c_chat,馬娘,最討厭的抽卡演出
c_chat,閒聊,哪些台灣工商適合贊助播出母雞卡？☎☎☎
c_chat,問題,有人能搞清楚數碼寶貝01-02的故事線嗎？
c_chat,情報,買 switch 2 理由再+1！傳任天堂一招讓
c_chat,母雞,有人能解析一下「若葉睦」這個人格嗎？
c_chat,閒聊,祥總接管集團後 會簽下mygo嗎
c_chat,閒聊,東離劍遊記 第二季~最終章 淺心得
c_chat,情報,怎麼可能成為妳的戀人 今晚7點pv公開
c_chat,母雞,為什麼大家突然開始用包餃子這個詞
c_chat,母雞,一個分鏡卻能敘述三角關係
c_chat,閒聊,少前2 416這角色做壞了吧= =?
c_chat,情報,shoei z8安全帽鋼彈 初音聯名
c_chat,間諜,放閃的佛傑夫婦
c_chat,母雞,搞外遇的立希
c_chat,閒聊,刺無刺有 前進美國anime expo 2025
c_chat,討論,最喜歡的裙子長度是多長
c_chat,閒聊,12集播完燈是不是最大受害者
c_chat,25冬,冬番各作品首播時間
c_chat,情報,41屆小天使招考（3/10～3/19）發錢
c_chat,閒聊,碧藍航線修女穿這麼少是可以的嗎？
c_chat,閒聊,ai眼中的魔女宅急便
c_chat,閒聊,歡迎來到豊橋
c_chat,討論,日本計程車可以臨停公車站嗎
c_chat,問題,現在電腦還需要裝搖桿驅動程式嗎= =
c_chat,閒聊,廣告中出現的小遊戲
c_chat,討論,立希跟愛音交情是不是很好？
c_chat,馬娘,訓練師原來這麼弱的嗎...
c_chat,問題,看漫畫看到很生氣怎麼辦 （有雷）
c_chat,討論,都市天際線2計程車併排臨停下客
c_chat,芙莉,葬送的芙莉蓮馬拉松 第100輪開始
c_chat,閒聊,figure 泰莎 裸腿兔女郎ver.
c_chat,閒聊,山梨縣是等於台灣的桃園嗎?
c_chat,母雞,燈現在在想什麼？
c_chat,母雞,祥子現在晚上睡覺是不是要注意
c_chat,母雞,忘了吧 就這樣忘了吧
c_chat,少女歌劇,大場なな 1/7 pvc  販賣決定！
c_chat,新聞,警查扣近百萬套未授權遊戲 侵權市值高達8
c_chat,討論,都市天際線2沒有內建路口退縮
c_chat,vtub,3/20同接鬥蟲
c_chat,情報,d.c. 初音島 重製 聲優全換
c_chat,情報,劇場版「進擊的巨人」完結篇3/22上架
c_chat,閒聊,異世界悠閒農家web #911 五村就業介紹所
c_chat,問題,mhws 太刀沒氣時遇到鎖刃奪命3連怎辦??
c_chat,母雞,祥子的腳難道不會臭嗎？
c_chat,閒聊,戰女新合作
c_chat,討論,kson組長 gunpla組裝 20250321
c_chat,vtub,neo-porte 緋月ゆい 絕區零
c_chat,vtub,zeta三周年新衣
c_chat,母雞,所以初華為什麼要送飲料？
c_chat,母雞,xx會不會是邦邦下一團成員
c_chat,軌跡,falcom社長:保證讓玩家滿意結束共和國篇
c_chat,絕區,為什麼男主可以跟耀嘉音約會??
c_chat,母雞,所以燈寶最後cp是誰贏了？
c_chat,巫術,辟邪除妖va 一點活動心得
c_chat,閒聊,刺客教條奧德賽20小時小心得
c_chat,母雞,oo是不是邦邦涼宮春日
c_chat,母雞,祥子的中二程度是邦邦之最嗎？
c_chat,母雞,現在回頭看第10集 祥總的便秘臉
c_chat,閒聊,荒野還會出現第三王女嗎?
c_chat,閒聊,刺客教條：暗影者 目前steam極度好評...
c_chat,閒聊,沒看很多電影怎看「終之退魔師」
c_chat,閒聊,卡普空yt：洛克人美國版動畫宣傳影片
c_chat,gkms,保底日常
c_chat,fate,"朋友:聖杯戰爭沒有絕對的好人壞人,怎反駁?"
c_chat,閒聊,石兵八陣會如何呈現
c_chat,母雞,興業銀行寰宇人生卡
c_chat,閒聊,漢堡加酸黃瓜是不是蠻噁心的
c_chat,母雞,ave mujica 12感想 霸道祥總滿分
c_chat,母雞,最後一集初華會跟燈寶大和解嗎？
c_chat,閒聊,無敵少俠的媽媽也太堅強了吧
c_chat,情報,遊戲王rd 儀式召喚
c_chat,情報,日本環球影城x藥師少女的獨語 合作
c_chat,閒聊,母雞卡是第一個這樣操作的嗎? (雷)
c_chat,奶子,襪幹
c_chat,,［刺客］刺客系列最喜歡的正攻武器是啥？
c_chat,figure,戀上換裝娃娃 可愛女僕 ver
c_chat,閒聊,☺  佐助舉起手被大蛇丸阻止是要用哪招？
c_chat,母雞,綾奈ゆにこ推特最新貼文
c_chat,,水野朔：可怕吧   我的戰績
c_chat,阿北,立希這時候在想什麼?
c_chat,閒聊,小少爺與獸耳女僕
c_chat,母雞,看到祥子振作，不是應該要高興嗎
c_chat,閒聊,當初看到宇宙大燒賣有多震撼?
c_chat,母雞,大家對 燈祥線 收的滿意嗎?
c_chat,問題,現在大家比較喜歡哪種祥子
c_chat,母雞,初華賺爛了吧？
c_chat,閒聊,吉伊卡哇島篇劇場版能熱賣嗎
c_chat,閒聊,魯蛋玩暗影者玩到崩潰了
c_chat,情報,(烏龍 已解決)ff14 the primals 巡迴演唱會8月來台
c_chat,荒野,拿塔鎖刃龍
c_chat,情報,優米雅的鍊金工房』泳裝實裝畫面分享
c_chat,vtub,貓背羽衣
stock,新聞,輝達gtc大會量子日 黃仁勳：量子運算深具
stock,新聞,美股反覆低收 中概股指數跌近4%
stock,標的,5530 龍巖 地藏王+土地公
stock,新聞,黃仁勳：未獲邀收購英特爾、已託台積電
stock,標的,長虹5534 二十一張更新未實現獲利
stock,新聞,輝達發布 cpo 交換器 高盛看好聯亞及全新
stock,請益,質押利率6.45%
stock,標的,1301 台塑四寶
stock,閒聊,2025/03/21 盤中閒聊
stock,新聞,賴清德：擴大對美採購 除了台積電 後續會
stock,新聞,總統：台積電以外產業亦將東拓
stock,情報,0320 上市櫃股票週轉率排行
stock,新聞,雲豹多路並進 推升獲利
stock,請益,0050打算轉存定期不定額
stock,請益,跟銀行端買股票的多嗎
stock,新聞,英偉達執行長表示將斥資數千億美元興建
stock,新聞,骯髒15國之最？外媒揭：台灣對美貿易順差
stock,標的,2316楠梓電 錢有匯回來多
stock,新聞,電視面板價格漲勢收斂，第二季需求下滑
stock,新聞,"大摩：聯發科目標價1,888元"
stock,新聞,今日漲停卻被潑冷水？謝金河指「這產業」
stock,請益,可拉回查詢最久最多分k跟ma的免費電腦看盤軟體
stock,新聞,美消費pc市場 今年零成長
stock,請益,台積電赴美出口還是進口?
stock,新聞,台股市值暴增9倍！國安基金5千億銀彈不夠
stock,新聞,港股盤後 科技股全面下挫 結束連4日漲勢
stock,新聞,新台幣匯率一路走貶，台積電跌破千元可
stock,情報,114/03/20 八大公股銀行買賣超排行
stock,新聞,川普要對中國製造船隻徵收天價港口費 美
stock,新聞,投資人評估經濟現況 美債殖利率下跌
stock,情報,美國初請失業金人數/費城聯儲製造業指數
stock,新聞,楊金龍：若漲電價cpi上修至2.04% 央行沒有
stock,情報,114年03月20日信用交易統計
stock,請益,現在期貨做空穩賺嗎?
stock,請益,請問etf的配息是怎麼算的?
stock,新聞,南韓三星罕見向外討救兵 傳找 palantir
stock,請益,為何版上很少有人鼓吹逢低買進中國股票？
stock,情報,0320 上市櫃外資投信買超金額排行
stock,新聞,昇銳電子涉進口中國製監視器改標mit販售
stock,新聞,黃仁勳成功是「運氣好」？季辛格批輝達ai
stock,新聞,偉訓拓車用、聲學商機，擬收購aip 100%股
stock,情報,0320 上市外資買賣超排行
stock,新聞,指馬英九停產idf致軍工人才出走 謝金河
stock,新聞,共同社：三菱汽車將委託鴻海生產電動車
stock,情報,央行理監事會後記者會 關注利率決策與關稅影響
stock,新聞,萬眾矚目！ 日媒曝：三菱汽車將委託鴻海
stock,新聞,快訊／利率連4凍！　央行未再推第8波房
stock,情報,20250320 中央銀行理監事聯席會議決議
stock,標的,00687b 國泰20年美債
stock,新聞,台灣為何被列入「骯髒15國」？美國這1天
stock,新聞,史上首次！美商務部長公開推薦買特斯拉股票
stock,情報,3158嘉實 113 eps 7.32/股利6/除息日公告
stock,新聞,雲豹能源四大業務添動能；成立資產管理公司
stock,情報,2323 中環 處分台積電、順達科
stock,情報,6898程曦資訊 113eps 8.48/股利 4.5+3/除息日公告
stock,請益,扣款沒有扣足
stock,情報,8359 錢櫃 113年eps 8.86 股利 6
stock,新聞,圖利光電才虧損？台電董座曾文生：雲豹
stock,新聞,美財長點名「骯髒15國」傳台灣入列 陸行
stock,請益,買賣通常如何掛盤
stock,新聞,美財長：股市良性回檔 不保證不會衰退
stock,請益,四巫日真的影響很大嗎？三月到底是哪天
stock,請益,不降息今天美債在漲啥？
stock,閒聊,2025/03/20 盤後閒聊
stock,新聞,特斯拉會計亮紅燈，14 億美元流向不明
stock,新聞,社團勸買進「狂拉5檔股票」獲利7千萬
stock,情報,0320 上市投信買賣超排行
stock,情報,114年03月20日 三大法人買賣金額統計表
stock,請益,停利停損問題
stock,新聞,半導體仍強勢 投信評估：台股q2淡季不淡
stock,請益,每天看嘉偉跟陳龍的節目我有點錯亂
stock,情報,黃仁勳：未來4年將花費數千億美元
stock,標的,09992.hk 泡泡瑪特 排隊多多~
stock,新聞,新光金今年股利怎麼發? 陳恩光：普通股待
stock,新聞,黃仁勳：輝達未來4年支出數千億美元
stock,新聞,季增3萬股民！「高息etf金絲雀」配息1.4
stock,新聞,元太、瑞昱攜手開發，電子貨架標籤升級
stock,標的,7759.tw 視航生醫 近視多多
stock,標的,長虹5534 屌打美債的物件 分享
stock,新聞,美銀:中國股市恐重演2015 將面臨「重大回
stock,心得,庫存股票是否要借券給別人 還是要看情況
stock,新聞,藉臉書社團炒股獲利7千萬 股市名人李杰判刑6年10月
stock,新聞,快訊／調查局今搜索京元電子　案情敏感北
Lifeismoney,情報,蝦皮 3m單線牙線棒 單支0.47元
Lifeismoney,情報,麥根沙士6.3/瓶
Lifeismoney,情報,pch ucc紅罐60瓶799
Lifeismoney,情報,aiwa 瞬熱淨飲機$2299
Lifeismoney,情報,dyson hd17 吹風機 24年款 $10699(史低)
Lifeismoney,情報,悠遊付領券全通路20%回饋（3/21已滿
Lifeismoney,情報,google play 遊戲夢幻怪獸限免
Lifeismoney,情報,全家app義大利麵6折優惠券
Lifeismoney,情報,新竹市：果五瑿，大湖草莓牛奶買一送一
Lifeismoney,情報,蝦皮 77巧克力醬 250g 57元免運
Lifeismoney,情報,全台捐血贈品
Lifeismoney,集中,贈送集中文
Lifeismoney,集中,未滿1元集點抽獎資訊集中文
Lifeismoney,情報,nike休閒女鞋891元
Lifeismoney,情報,全家輪盤5000點 3/19~4/1
Lifeismoney,情報,全家行動購$33折價券（100%折抵）
Lifeismoney,情報,line免費貼圖-比熊犬
Lifeismoney,情報,大苑子 會員 指定飲料優惠
